Freq.	V(vo)
Step Information: Run=13  (Run: 13/100)
1.12460497396692e+003	(1.41761239718556e-001dB,-4.15799675033753e+000°)
1.12719745617551e+003	(1.41765528673121e-001dB,-4.16758284623661e+000°)
1.12979591467279e+003	(1.41769837400294e-001dB,-4.17719104676549e+000°)
1.13240036323555e+003	(1.41774165991178e-001dB,-4.18682140292476e+000°)
1.13501081567231e+003	(1.41778514536975e-001dB,-4.19647396583303e+000°)
1.13762728582343e+003	(1.41782883129801e-001dB,-4.20614878672716e+000°)
1.14024978756117e+003	(1.41787271861932e-001dB,-4.21584591696230e+000°)
1.14287833478977e+003	(1.41791680825975e-001dB,-4.22556540801214e+000°)
1.14551294144553e+003	(1.41796110115104e-001dB,-4.23530731146968e+000°)
1.14815362149688e+003	(1.41800559823040e-001dB,-4.24507167904692e+000°)
1.15080038894443e+003	(1.41805030043687e-001dB,-4.25485856257554e+000°)
1.15345325782109e+003	(1.41809520871476e-001dB,-4.26466801400703e+000°)
1.15611224219210e+003	(1.41814032401302e-001dB,-4.27450008541273e+000°)
1.15877735615512e+003	(1.41818564728387e-001dB,-4.28435482898459e+000°)
1.16144861384034e+003	(1.41823117948599e-001dB,-4.29423229703516e+000°)
1.16412602941049e+003	(1.41827692158117e-001dB,-4.30413254199793e+000°)
1.16680961706096e+003	(1.41832287453538e-001dB,-4.31405561642724e+000°)
1.16949939101987e+003	(1.41836903931861e-001dB,-4.32400157299960e+000°)
1.17219536554813e+003	(1.41841541690823e-001dB,-4.33397046451269e+000°)
1.17489755493953e+003	(1.41846200828144e-001dB,-4.34396234388656e+000°)
1.17760597352080e+003	(1.41850881442371e-001dB,-4.35397726416331e+000°)
1.18032063565173e+003	(1.41855583632376e-001dB,-4.36401527850803e+000°)
1.18304155572516e+003	(1.41860307497379e-001dB,-4.37407644020846e+000°)
1.18576874816716e+003	(1.41865053137282e-001dB,-4.38416080267557e+000°)
1.18850222743701e+003	(1.41869820652187e-001dB,-4.39426841944392e+000°)
1.19124200802737e+003	(1.41874610142900e-001dB,-4.40439934417161e+000°)
1.19398810446427e+003	(1.41879421710575e-001dB,-4.41455363064103e+000°)
1.19674053130724e+003	(1.41884255456770e-001dB,-4.42473133275878e+000°)
1.19949930314937e+003	(1.41889111483655e-001dB,-4.43493250455612e+000°)
1.20226443461741e+003	(1.41893989893665e-001dB,-4.44515720018918e+000°)
1.20503594037179e+003	(1.41898890789913e-001dB,-4.45540547393942e+000°)
1.20781383510678e+003	(1.41903814275875e-001dB,-4.46567738021365e+000°)
1.21059813355048e+003	(1.41908760455579e-001dB,-4.47597297354463e+000°)
1.21338885046497e+003	(1.41913729433482e-001dB,-4.48629230859096e+000°)
1.21618600064636e+003	(1.41918721314364e-001dB,-4.49663544013804e+000°)
1.21898959892486e+003	(1.41923736203812e-001dB,-4.50700242309747e+000°)
1.22179966016487e+003	(1.41928774207629e-001dB,-4.51739331250811e+000°)
1.22461619926504e+003	(1.41933835432250e-001dB,-4.52780816353597e+000°)
1.22743923115840e+003	(1.41938919984459e-001dB,-4.53824703147469e+000°)
1.23026877081238e+003	(1.41944027971827e-001dB,-4.54870997174566e+000°)
1.23310483322890e+003	(1.41949159501988e-001dB,-4.55919703989851e+000°)
1.23594743344450e+003	(1.41954314683386e-001dB,-4.56970829161136e+000°)
1.23879658653036e+003	(1.41959493624816e-001dB,-4.58024378269088e+000°)
1.24165230759241e+003	(1.41964696435649e-001dB,-4.59080356907305e+000°)
1.24451461177138e+003	(1.41969923225811e-001dB,-4.60138770682296e+000°)
1.24738351424294e+003	(1.41975174105570e-001dB,-4.61199625213558e+000°)
1.25025903021771e+003	(1.41980449185806e-001dB,-4.62262926133564e+000°)
1.25314117494141e+003	(1.41985748577872e-001dB,-4.63328679087826e+000°)
1.25602996369487e+003	(1.41991072393640e-001dB,-4.64396889734896e+000°)
1.25892541179416e+003	(1.41996420745484e-001dB,-4.65467563746438e+000°)
1.26182753459066e+003	(1.42001793746480e-001dB,-4.66540706807190e+000°)
1.26473634747115e+003	(1.42007191509835e-001dB,-4.67616324615084e+000°)
1.26765186585784e+003	(1.42012614149576e-001dB,-4.68694422881196e+000°)
1.27057410520854e+003	(1.42018061780206e-001dB,-4.69775007329830e+000°)
1.27350308101666e+003	(1.42023534516618e-001dB,-4.70858083698531e+000°)
1.27643880881134e+003	(1.42029032474479e-001dB,-4.71943657738079e+000°)
1.27938130415752e+003	(1.42034555769684e-001dB,-4.73031735212615e+000°)
1.28233058265601e+003	(1.42040104519071e-001dB,-4.74122321899542e+000°)
1.28528665994361e+003	(1.42045678839378e-001dB,-4.75215423589696e+000°)
1.28824955169313e+003	(1.42051278848529e-001dB,-4.76311046087256e+000°)
1.29121927361353e+003	(1.42056904664661e-001dB,-4.77409195209836e+000°)
1.29419584144998e+003	(1.42062556406466e-001dB,-4.78509876788506e+000°)
1.29717927098395e+003	(1.42068234193341e-001dB,-4.79613096667856e+000°)
1.30016957803328e+003	(1.42073938144978e-001dB,-4.80718860705955e+000°)
1.30316677845229e+003	(1.42079668381802e-001dB,-4.81827174774436e+000°)
1.30617088813183e+003	(1.42085425024717e-001dB,-4.82938044758520e+000°)
1.30918192299940e+003	(1.42091208195341e-001dB,-4.84051476557037e+000°)
1.31219989901920e+003	(1.42097018015513e-001dB,-4.85167476082457e+000°)
1.31522483219223e+003	(1.42102854607966e-001dB,-4.86286049260940e+000°)
1.31825673855640e+003	(1.42108718095805e-001dB,-4.87407202032333e+000°)
1.32129563418657e+003	(1.42114608602801e-001dB,-4.88530940350258e+000°)
1.32434153519466e+003	(1.42120526253273e-001dB,-4.89657270182082e+000°)
1.32739445772973e+003	(1.42126471171986e-001dB,-4.90786197508986e+000°)
1.33045441797808e+003	(1.42132443484452e-001dB,-4.91917728325990e+000°)
1.33352143216332e+003	(1.42138443316695e-001dB,-4.93051868641976e+000°)
1.33659551654643e+003	(1.42144470795140e-001dB,-4.94188624479739e+000°)
1.33967668742593e+003	(1.42150526047230e-001dB,-4.95328001875998e+000°)
1.34276496113786e+003	(1.42156609200559e-001dB,-4.96470006881442e+000°)
1.34586035405594e+003	(1.42162720383513e-001dB,-4.97614645560784e+000°)
1.34896288259165e+003	(1.42168859724912e-001dB,-4.98761923992715e+000°)
1.35207256319427e+003	(1.42175027354338e-001dB,-4.99911848270035e+000°)
1.35518941235103e+003	(1.42181223401903e-001dB,-5.01064424499627e+000°)
1.35831344658715e+003	(1.42187447998357e-001dB,-5.02219658802510e+000°)
1.36144468246594e+003	(1.42193701275059e-001dB,-5.03377557313849e+000°)
1.36458313658892e+003	(1.42199983363689e-001dB,-5.04538126183029e+000°)
1.36772882559584e+003	(1.42206294396966e-001dB,-5.05701371573641e+000°)
1.37088176616484e+003	(1.42212634507938e-001dB,-5.06867299663566e+000°)
1.37404197501251e+003	(1.42219003830419e-001dB,-5.08035916644940e+000°)
1.37720946889394e+003	(1.42225402498609e-001dB,-5.09207228724273e+000°)
1.38038426460288e+003	(1.42231830647532e-001dB,-5.10381242122410e+000°)
1.38356637897177e+003	(1.42238288412720e-001dB,-5.11557963074595e+000°)
1.38675582887188e+003	(1.42244775930540e-001dB,-5.12737397830524e+000°)
1.38995263121334e+003	(1.42251293337580e-001dB,-5.13919552654313e+000°)
1.39315680294529e+003	(1.42257840771471e-001dB,-5.15104433824610e+000°)
1.39636836105593e+003	(1.42264418370208e-001dB,-5.16292047634572e+000°)
1.39958732257261e+003	(1.42271026272455e-001dB,-5.17482400391952e+000°)
1.40281370456195e+003	(1.42277664617672e-001dB,-5.18675498419074e+000°)
1.40604752412990e+003	(1.42284333545756e-001dB,-5.19871348052882e+000°)
1.40928879842186e+003	(1.42291033197349e-001dB,-5.21069955645031e+000°)
1.41253754462274e+003	(1.42297763713756e-001dB,-5.22271327561850e+000°)
1.41579377995707e+003	(1.42304525236978e-001dB,-5.23475470184376e+000°)
1.41905752168908e+003	(1.42311317909343e-001dB,-5.24682389908490e+000°)
1.42232878712281e+003	(1.42318141874278e-001dB,-5.25892093144803e+000°)
