time	V(vo_rec)
0.000000000000000e+000	5.459389e+000
6.300818175145436e-011	5.459389e+000
1.260163635029087e-010	5.459389e+000
1.890245452543631e-010	5.459389e+000
2.520327270058174e-010	5.459389e+000
3.150409087572718e-010	5.459389e+000
3.780490905087261e-010	5.459389e+000
4.410572722601804e-010	5.459389e+000
8.191999856244081e-010	5.459389e+000
1.068323245787098e-009	5.459389e+000
1.317446505949789e-009	5.459389e+000
1.566569766112479e-009	5.459389e+000
1.815693026275169e-009	5.459389e+000
2.064816286437859e-009	5.459389e+000
2.313939546600549e-009	5.459389e+000
2.563062806763239e-009	5.459389e+000
3.538594480651496e-009	5.459389e+000
4.556504803376594e-009	5.459389e+000
5.781128943360117e-009	5.459389e+000
7.558551781018317e-009	5.459389e+000
9.703568464758584e-009	5.459389e+000
1.229694448783263e-008	5.459389e+000
1.504598450750569e-008	5.459389e+000
1.692299719027308e-008	5.459389e+000
1.829830785966515e-008	5.459389e+000
1.929237621370613e-008	5.459389e+000
1.945264227406965e-008	5.459389e+000
1.961290833443317e-008	5.459389e+000
1.977317439479670e-008	5.459389e+000
1.993344045516022e-008	5.459389e+000
2.009370651552374e-008	5.459389e+000
2.025397257588726e-008	5.459389e+000
2.041423863625078e-008	5.459389e+000
2.051475539058455e-008	5.459389e+000
2.061527214491833e-008	5.459389e+000
2.071578889925210e-008	5.459389e+000
2.081630565358587e-008	5.459389e+000
2.091682240791964e-008	5.459389e+000
2.101733916225341e-008	5.459389e+000
2.111785591658718e-008	5.459389e+000
2.120121113496702e-008	5.459389e+000
2.128456635334687e-008	5.459389e+000
2.136792157172671e-008	5.459389e+000
2.145127679010655e-008	5.459389e+000
2.153463200848640e-008	5.459389e+000
2.161798722686624e-008	5.459389e+000
2.170134244524609e-008	5.459389e+000
2.253119935329061e-008	5.459389e+000
2.358812174325705e-008	5.459389e+000
2.415587241590387e-008	5.459389e+000
2.472362308855068e-008	5.459389e+000
2.529137376119750e-008	5.459389e+000
2.585912443384432e-008	5.459389e+000
2.642687510649114e-008	5.459389e+000
2.699462577913796e-008	5.459389e+000
2.756237645178477e-008	5.459389e+000
2.839401329911200e-008	5.459389e+000
2.922565014643922e-008	5.459389e+000
3.005728699376645e-008	5.459389e+000
3.088892384109368e-008	5.459389e+000
3.172056068842090e-008	5.459389e+000
3.255219753574813e-008	5.459389e+000
3.338383438307535e-008	5.459389e+000
3.430243454045539e-008	5.459389e+000
3.490262585440575e-008	5.459389e+000
3.550281716835611e-008	5.459389e+000
3.610300848230646e-008	5.459389e+000
3.670319979625682e-008	5.459389e+000
3.730339111020717e-008	5.459389e+000
3.790358242415753e-008	5.459389e+000
3.850377373810789e-008	5.459389e+000
4.345119769378905e-008	5.459389e+000
4.433816464532207e-008	5.459389e+000
4.522513159685509e-008	5.459389e+000
4.611209854838810e-008	5.459389e+000
4.699906549992112e-008	5.459389e+000
4.788603245145414e-008	5.459389e+000
4.877299940298716e-008	5.459389e+000
4.965996635452017e-008	5.459389e+000
5.104037828196480e-008	5.459389e+000
5.288092751855762e-008	5.459389e+000
5.672443073770064e-008	5.459389e+000
5.769885921344480e-008	5.459389e+000
5.899809718110369e-008	5.459389e+000
6.159657311642145e-008	5.459389e+000
6.342981975585424e-008	5.459389e+000
6.498890531704491e-008	5.459389e+000
6.948778558799540e-008	5.459389e+000
7.239807863555131e-008	5.459389e+000
7.546104739773512e-008	5.459389e+000
7.778928183577985e-008	5.459389e+000
8.087863959287223e-008	5.459389e+000
8.460381469374379e-008	5.459389e+000
8.695600407922890e-008	5.459389e+000
8.833587698236076e-008	5.459389e+000
8.971574988549263e-008	5.459389e+000
9.109562278862450e-008	5.459389e+000
9.247549569175636e-008	5.459389e+000
9.385536859488823e-008	5.459389e+000
9.523524149802010e-008	5.459389e+000
9.661511440115196e-008	5.459389e+000
1.013833385302676e-007	5.459389e+000
1.066151144011520e-007	5.459389e+000
1.144526306629793e-007	5.459389e+000
1.159006802683400e-007	5.459389e+000
1.173487298737006e-007	5.459389e+000
1.187967794790613e-007	5.459389e+000
1.202448290844219e-007	5.459389e+000
1.216928786897826e-007	5.459389e+000
1.231409282951433e-007	5.459389e+000
1.245889779005039e-007	5.459389e+000
1.278694905890070e-007	5.459389e+000
1.311500032775101e-007	5.459389e+000
1.344305159660132e-007	5.459389e+000
1.377110286545163e-007	5.459389e+000
1.409915413430193e-007	5.459389e+000
1.442720540315224e-007	5.459389e+000
1.475525667200255e-007	5.459389e+000
1.511550395153678e-007	5.459389e+000
1.547575123107100e-007	5.459389e+000
1.583599851060523e-007	5.459389e+000
1.619624579013945e-007	5.459389e+000
1.655649306967367e-007	5.459389e+000
1.691674034920790e-007	5.459389e+000
1.727698762874212e-007	5.459389e+000
1.760330365238775e-007	5.459389e+000
1.809751381573703e-007	5.459389e+000
1.848909304411179e-007	5.459389e+000
1.903225061100790e-007	5.459389e+000
1.932697761789135e-007	5.459389e+000
1.966380848290101e-007	5.459389e+000
2.009961678400983e-007	5.459389e+000
2.050381382202142e-007	5.459389e+000
2.108614354940945e-007	5.459389e+000
2.150945729857484e-007	5.459389e+000
2.193277104774024e-007	5.459389e+000
2.235608479690564e-007	5.459389e+000
2.277939854607104e-007	5.459389e+000
2.320271229523644e-007	5.459389e+000
2.362602604440184e-007	5.459389e+000
2.404933979356723e-007	5.459389e+000
2.443724457919584e-007	5.459389e+000
2.482514936482445e-007	5.459389e+000
2.521305415045306e-007	5.459389e+000
2.560095893608167e-007	5.459389e+000
2.598886372171027e-007	5.459389e+000
2.637676850733888e-007	5.459389e+000
2.676467329296749e-007	5.459389e+000
2.751745968511974e-007	5.459389e+000
2.801057348546704e-007	5.459389e+000
2.850368728581434e-007	5.459389e+000
2.899680108616164e-007	5.459389e+000
2.948991488650894e-007	5.459389e+000
2.998302868685624e-007	5.459389e+000
3.047614248720354e-007	5.459389e+000
3.096925628755084e-007	5.459389e+000
3.175139270486078e-007	5.459389e+000
3.253352912217072e-007	5.459389e+000
3.331566553948066e-007	5.459389e+000
3.409780195679059e-007	5.459389e+000
3.487993837410053e-007	5.459389e+000
3.566207479141047e-007	5.459389e+000
3.644421120872041e-007	5.459389e+000
3.736535406586328e-007	5.459389e+000
3.828649692300616e-007	5.459389e+000
3.920763978014903e-007	5.459389e+000
4.012878263729190e-007	5.459389e+000
4.104992549443477e-007	5.459389e+000
4.197106835157765e-007	5.459389e+000
4.289221120872052e-007	5.459389e+000
4.390821121419440e-007	5.459389e+000
4.492421121966828e-007	5.459389e+000
4.594021122514215e-007	5.459389e+000
4.695621123061603e-007	5.459389e+000
4.797221123608991e-007	5.459389e+000
4.898821124156380e-007	5.459389e+000
5.000421124703767e-007	5.459389e+000
5.143081149077316e-007	5.459389e+000
5.285741173450864e-007	5.459389e+000
5.428401197824414e-007	5.459389e+000
5.571061222197962e-007	5.459389e+000
5.713721246571511e-007	5.459389e+000
5.856381270945060e-007	5.459389e+000
5.999041295318608e-007	5.459389e+000
6.215524127540527e-007	5.459389e+000
6.432006959762447e-007	5.459389e+000
6.648489791984367e-007	5.459389e+000
6.864972624206287e-007	5.459389e+000
7.081455456428206e-007	5.459389e+000
7.297938288650125e-007	5.459389e+000
7.514421120872045e-007	5.459389e+000
8.045033365770002e-007	5.459389e+000
8.575645610667961e-007	5.459389e+000
9.106257855565919e-007	5.459389e+000
9.636870100463876e-007	5.459389e+000
1.016748234536184e-006	5.459389e+000
1.069809459025979e-006	5.459389e+000
1.122870683515775e-006	5.459389e+000
1.260952316168835e-006	5.459389e+000
1.399033948821895e-006	5.459389e+000
1.537115581474955e-006	5.459389e+000
1.675197214128015e-006	5.459389e+000
1.813278846781075e-006	5.459389e+000
1.951360479434134e-006	5.459389e+000
2.089442112087194e-006	5.459389e+000
2.188038217473583e-006	5.459389e+000
2.286634322859973e-006	5.459389e+000
2.385230428246362e-006	5.459389e+000
2.483826533632751e-006	5.459389e+000
2.582422639019141e-006	5.459389e+000
2.681018744405530e-006	5.459388e+000
2.779614849791919e-006	5.459388e+000
2.792877763163311e-006	5.459388e+000
2.806140676534704e-006	5.459388e+000
2.819403589906096e-006	5.459388e+000
2.832666503277488e-006	5.459388e+000
2.845929416648881e-006	5.459388e+000
2.859192330020273e-006	5.459388e+000
2.872455243391665e-006	5.459388e+000
2.876248745031930e-006	5.459388e+000
2.878438890511951e-006	5.459388e+000
2.879854665942560e-006	5.459388e+000
2.881399946708464e-006	5.459388e+000
2.881490556336023e-006	5.459388e+000
2.884459649141853e-006	5.459388e+000
2.887980494041223e-006	5.459388e+000
2.891661029762113e-006	5.459388e+000
2.895323152687349e-006	5.459388e+000
2.900557379034487e-006	5.459388e+000
2.906648006546939e-006	5.459388e+000
2.915055329071891e-006	5.459388e+000
2.925055329071891e-006	5.459388e+000
2.931775353936683e-006	5.459388e+000
2.935055329071891e-006	5.459388e+000
2.940431348963725e-006	5.459388e+000
2.945055329071891e-006	5.459388e+000
2.949356144985358e-006	5.459388e+000
2.955210823615433e-006	5.459388e+000
2.957387747225016e-006	5.459388e+000
2.959875659921683e-006	5.459388e+000
2.965055329071891e-006	5.459388e+000
2.967909141668139e-006	5.459388e+000
2.971170641778136e-006	5.459388e+000
2.975055329071890e-006	5.459388e+000
2.978368621823662e-006	5.459388e+000
2.979788604431565e-006	5.459388e+000
2.982781668451800e-006	5.459388e+000
2.983277334429265e-006	5.459388e+000
2.983773000406730e-006	5.459388e+000
2.984268666384196e-006	5.459388e+000
2.984764332361662e-006	5.459388e+000
2.985259998339127e-006	5.459388e+000
2.985755664316592e-006	5.459388e+000
2.986251330294058e-006	5.459388e+000
2.986595192341718e-006	5.459388e+000
2.986939054389379e-006	5.459388e+000
2.987282916437040e-006	5.459388e+000
2.987626778484701e-006	5.459388e+000
2.987970640532362e-006	5.459388e+000
2.988314502580023e-006	5.459388e+000
2.988658364627683e-006	5.459388e+000
2.988744337963251e-006	5.459388e+000
2.988830311298818e-006	5.459388e+000
2.988916284634386e-006	5.459388e+000
2.989002257969954e-006	5.459388e+000
2.989088231305522e-006	5.459388e+000
2.989174204641089e-006	5.459388e+000
2.989260177976657e-006	5.459388e+000
2.989859511658126e-006	5.459388e+000
2.990074692286095e-006	5.459388e+000
2.990289872914064e-006	5.459388e+000
2.990505053542033e-006	5.459388e+000
2.990720234170002e-006	5.459388e+000
2.990935414797971e-006	5.459388e+000
2.991150595425940e-006	5.459388e+000
2.991365776053909e-006	5.459388e+000
2.992052870655588e-006	5.459388e+000
2.992842000322479e-006	5.459388e+000
2.993675646574863e-006	5.459388e+000
2.994682629404934e-006	5.459388e+000
2.995930447492825e-006	5.459388e+000
2.997342166928367e-006	5.459388e+000
2.998261716334375e-006	5.459388e+000
2.998512525834701e-006	5.459388e+000
2.998763335335027e-006	5.459388e+000
2.999014144835352e-006	5.459388e+000
2.999264954335679e-006	5.459388e+000
2.999515763836005e-006	5.459388e+000
2.999766573336330e-006	5.459388e+000
3.000017382836656e-006	5.459388e+000
3.000589358936378e-006	5.459388e+000
3.001161335036101e-006	5.459388e+000
3.001733311135823e-006	5.459388e+000
3.002305287235545e-006	5.459388e+000
3.002877263335267e-006	5.459388e+000
3.003449239434990e-006	5.459388e+000
3.004021215534712e-006	5.459388e+000
3.004861323312091e-006	5.459388e+000
3.006033965300504e-006	5.459388e+000
3.007755878093371e-006	5.459388e+000
3.008802027264100e-006	5.459388e+000
3.010367555474874e-006	5.459388e+000
3.012041394148040e-006	5.459388e+000
3.013954352631659e-006	5.459388e+000
3.015439300550028e-006	5.459388e+000
3.016587075640199e-006	5.459388e+000
3.018117442427094e-006	5.459388e+000
3.021178176000884e-006	5.459387e+000
3.024279337773345e-006	5.459387e+000
3.028564364776650e-006	5.459387e+000
3.032548119256991e-006	5.459387e+000
3.035711658875045e-006	5.459387e+000
3.040091860359481e-006	5.459387e+000
3.043605235144237e-006	5.459387e+000
3.047118609928993e-006	5.459387e+000
3.050631984713749e-006	5.459387e+000
3.054145359498505e-006	5.459387e+000
