time	V(vrec)
4.120075865993233e-007	1.063073e-003
4.210361575572214e-007	1.063076e-003
4.300647285151196e-007	1.063078e-003
4.390932994730178e-007	1.063081e-003
4.481218704309159e-007	1.063083e-003
4.593942890798158e-007	1.063085e-003
4.706667077287157e-007	1.063087e-003
4.819391263776155e-007	1.063088e-003
4.932115450265154e-007	1.063089e-003
5.044839636754152e-007	1.063090e-003
5.157563823243151e-007	1.063089e-003
5.270288009732150e-007	1.063089e-003
5.433593787589633e-007	1.063087e-003
5.596899565447118e-007	1.063086e-003
5.760205343304601e-007	1.063085e-003
5.923511121162084e-007	1.063083e-003
6.086816899019569e-007	1.063081e-003
6.250122676877052e-007	1.063080e-003
6.413428454734535e-007	1.063078e-003
6.679398495094640e-007	1.063077e-003
6.945368535454745e-007	1.063076e-003
7.211338575814850e-007	1.063075e-003
7.477308616174956e-007	1.063074e-003
7.743278656535061e-007	1.063074e-003
8.009248696895165e-007	1.063074e-003
8.275218737255270e-007	1.063075e-003
9.569188958416741e-007	1.063076e-003
1.086315917957821e-006	1.063076e-003
1.215712940073968e-006	1.063075e-003
1.345109962190116e-006	1.063072e-003
1.474506984306263e-006	1.063068e-003
1.603904006422410e-006	1.063062e-003
1.733301028538557e-006	1.063056e-003
1.804083731339994e-006	1.063051e-003
1.874866434141432e-006	1.063046e-003
1.945649136942870e-006	1.063040e-003
2.016431839744307e-006	1.063034e-003
2.087214542545745e-006	1.063027e-003
2.157997245347183e-006	1.063019e-003
2.228779948148620e-006	1.063011e-003
2.237171873257339e-006	1.063010e-003
2.245563798366058e-006	1.063009e-003
2.253955723474777e-006	1.063008e-003
2.262347648583496e-006	1.063007e-003
2.270739573692214e-006	1.063006e-003
2.279131498800933e-006	1.063005e-003
2.287523423909652e-006	1.063004e-003
2.295276594591605e-006	1.063003e-003
2.302218837709014e-006	1.063002e-003
2.306929514599982e-006	1.063001e-003
2.311379147810049e-006	1.063000e-003
2.315973089567619e-006	1.063000e-003
2.321244621672760e-006	1.062999e-003
2.327819855611549e-006	1.062998e-003
2.334229181368258e-006	1.062998e-003
2.342169962752931e-006	1.062997e-003
2.345458844941618e-006	1.062997e-003
2.351590782286274e-006	1.062998e-003
2.353846015787088e-006	1.062998e-003
2.356852993788174e-006	1.062998e-003
2.361590782286274e-006	1.062999e-003
2.363394969086925e-006	1.062999e-003
2.365800551487794e-006	1.063000e-003
2.371590782286274e-006	1.063001e-003
2.374477481167316e-006	1.063003e-003
2.378326413008706e-006	1.063004e-003
2.381590782286274e-006	1.063006e-003
2.383318961116029e-006	1.063007e-003
2.387351378385459e-006	1.063009e-003
2.390000734082635e-006	1.063011e-003
2.391136172238568e-006	1.063012e-003
2.393381010912304e-006	1.063014e-003
2.394730435441134e-006	1.063015e-003
2.395019612611727e-006	1.063015e-003
2.395308789782320e-006	1.063016e-003
2.395597966952913e-006	1.063016e-003
2.395887144123507e-006	1.063017e-003
2.396176321294100e-006	1.063017e-003
2.396465498464693e-006	1.063018e-003
2.396754675635286e-006	1.063018e-003
2.398101235056100e-006	1.063020e-003
2.399447794476913e-006	1.063023e-003
2.400794353897726e-006	1.063025e-003
2.402140913318539e-006	1.063028e-003
2.403487472739353e-006	1.063031e-003
2.404834032160166e-006	1.063034e-003
2.406180591580979e-006	1.063037e-003
2.406473395233281e-006	1.063037e-003
2.409607272017676e-006	1.063045e-003
2.412741148802070e-006	1.063051e-003
2.415875025586464e-006	1.063057e-003
2.419008902370859e-006	1.063063e-003
2.422142779155253e-006	1.063068e-003
2.425276655939648e-006	1.063072e-003
2.428410532724042e-006	1.063075e-003
2.432285050292101e-006	1.063077e-003
2.436159567860160e-006	1.063077e-003
2.440034085428218e-006	1.063075e-003
2.443908602996277e-006	1.063071e-003
2.447783120564336e-006	1.063065e-003
2.451657638132394e-006	1.063057e-003
2.455532155700453e-006	1.063048e-003
2.458479613772609e-006	1.063039e-003
2.462409557868816e-006	1.063027e-003
2.465532155700453e-006	1.063017e-003
2.467890122158177e-006	1.063008e-003
2.471034077435143e-006	1.062997e-003
2.476160946755847e-006	1.062978e-003
2.484964021531352e-006	1.062944e-003
2.490130897841221e-006	1.062925e-003
2.495297774151091e-006	1.062908e-003
2.500464650460961e-006	1.062892e-003
2.505631526770831e-006	1.062879e-003
2.510798403080701e-006	1.062869e-003
2.515965279390571e-006	1.062860e-003
2.521132155700441e-006	1.062853e-003
2.527749298557257e-006	1.062851e-003
2.534366441414073e-006	1.062851e-003
2.540983584270890e-006	1.062855e-003
2.547600727127706e-006	1.062862e-003
2.554217869984522e-006	1.062873e-003
2.560835012841338e-006	1.062886e-003
2.567452155698155e-006	1.062904e-003
2.574320727127054e-006	1.062922e-003
2.581189298555954e-006	1.062940e-003
2.588057869984853e-006	1.062957e-003
2.594926441413753e-006	1.062973e-003
2.601795012842652e-006	1.062988e-003
2.608663584271552e-006	1.063001e-003
2.615532155700451e-006	1.063014e-003
2.624368055395677e-006	1.063024e-003
2.633203955090903e-006	1.063031e-003
2.642039854786129e-006	1.063033e-003
2.650875754481356e-006	1.063031e-003
2.659711654176582e-006	1.063025e-003
2.668547553871808e-006	1.063015e-003
2.677383453567034e-006	1.063002e-003
2.690318982443210e-006	1.062975e-003
2.703254511319385e-006	1.062949e-003
2.716190040195560e-006	1.062924e-003
2.729125569071736e-006	1.062901e-003
2.742061097947911e-006	1.062879e-003
2.754996626824087e-006	1.062858e-003
2.767932155700262e-006	1.062838e-003
2.785257406912670e-006	1.062825e-003
2.802582658125078e-006	1.062816e-003
2.819907909337486e-006	1.062811e-003
2.837233160549894e-006	1.062810e-003
2.854558411762302e-006	1.062813e-003
2.871883662974709e-006	1.062821e-003
2.889208914187117e-006	1.062832e-003
2.915103999901403e-006	1.062846e-003
2.940999085615689e-006	1.062856e-003
2.966894171329974e-006	1.062862e-003
2.992789257044259e-006	1.062863e-003
3.018684342758545e-006	1.062861e-003
3.044579428472831e-006	1.062854e-003
3.070474514187116e-006	1.062843e-003
3.101413289697320e-006	1.062825e-003
3.132352065207523e-006	1.062803e-003
3.163290840717727e-006	1.062776e-003
3.194229616227931e-006	1.062746e-003
3.225168391738135e-006	1.062712e-003
3.256107167248339e-006	1.062674e-003
3.287045942758542e-006	1.062632e-003
3.332147983574869e-006	1.062569e-003
3.377250024391194e-006	1.062493e-003
3.422352065207521e-006	1.062404e-003
3.467454106023847e-006	1.062303e-003
3.512556146840173e-006	1.062190e-003
3.557658187656499e-006	1.062064e-003
3.602760228472825e-006	1.061926e-003
3.650773033147610e-006	1.061768e-003
3.698785837822394e-006	1.061563e-003
3.746798642497179e-006	1.061312e-003
3.794811447171963e-006	1.061014e-003
3.842824251846747e-006	1.060670e-003
3.890837056521532e-006	1.060279e-003
3.938849861196317e-006	1.059841e-003
3.947738262681855e-006	1.059749e-003
3.956626664167395e-006	1.059653e-003
3.965515065652933e-006	1.059555e-003
3.974403467138472e-006	1.059453e-003
3.983291868624010e-006	1.059349e-003
3.992180270109550e-006	1.059241e-003
4.001068671595088e-006	1.059131e-003
4.001772693448702e-006	1.059122e-003
4.002476715302314e-006	1.059113e-003
