time	V(vrec)
3.318829823454647e-006	1.948072e-004
3.331405916826660e-006	1.947500e-004
3.332131814677343e-006	1.947466e-004
3.332857712528025e-006	1.947432e-004
3.333583610378707e-006	1.947398e-004
3.334309508229390e-006	1.947364e-004
3.335035406080072e-006	1.947329e-004
3.335761303930754e-006	1.947295e-004
3.336487201781437e-006	1.947261e-004
3.337736796087355e-006	1.947201e-004
3.339430892910528e-006	1.947120e-004
3.340720232064714e-006	1.947059e-004
3.341695235456312e-006	1.947013e-004
3.342176360984334e-006	1.946990e-004
3.342451610860390e-006	1.946977e-004
3.342630064082876e-006	1.946969e-004
3.342673654161384e-006	1.946967e-004
3.342717244239893e-006	1.946965e-004
3.342760834318401e-006	1.946963e-004
3.342804424396909e-006	1.946961e-004
3.342848014475417e-006	1.946959e-004
3.342891604553926e-006	1.946957e-004
3.342935194632434e-006	1.946955e-004
3.343128540679929e-006	1.946947e-004
3.343166190956913e-006	1.946946e-004
3.343203841233896e-006	1.946944e-004
3.343241491510880e-006	1.946943e-004
3.343279141787863e-006	1.946941e-004
3.343316792064847e-006	1.946939e-004
3.343354442341831e-006	1.946938e-004
3.343392092618814e-006	1.946936e-004
3.343614803442463e-006	1.946928e-004
3.343870112338454e-006	1.946917e-004
3.344260783726649e-006	1.946899e-004
3.344760554627664e-006	1.946874e-004
3.345613173839991e-006	1.946828e-004
3.346027647995576e-006	1.946806e-004
3.346518963781194e-006	1.946780e-004
3.347062943750225e-006	1.946750e-004
3.347732686252318e-006	1.946714e-004
3.347941287588320e-006	1.946702e-004
3.348149888924322e-006	1.946691e-004
3.348358490260323e-006	1.946679e-004
3.348567091596325e-006	1.946668e-004
3.348775692932327e-006	1.946656e-004
3.348984294268329e-006	1.946644e-004
3.349192895604330e-006	1.946633e-004
3.350623375315281e-006	1.946550e-004
3.352798242778604e-006	1.946421e-004
3.355318683551487e-006	1.946262e-004
3.357859209016863e-006	1.946095e-004
3.358308099961736e-006	1.946064e-004
3.358756990906609e-006	1.946034e-004
3.359205881851482e-006	1.946003e-004
3.359654772796356e-006	1.945972e-004
3.360103663741229e-006	1.945941e-004
3.360552554686102e-006	1.945909e-004
3.361001445630975e-006	1.945878e-004
3.364027032458569e-006	1.945660e-004
3.368172302128763e-006	1.945351e-004
3.372923006469935e-006	1.944985e-004
3.378826199301794e-006	1.944524e-004
3.384243931323365e-006	1.944104e-004
3.387006529577094e-006	1.943895e-004
3.390072628134091e-006	1.943666e-004
3.395417247186830e-006	1.943283e-004
3.400623973188986e-006	1.942932e-004
3.405531825358502e-006	1.942624e-004
3.410105135249107e-006	1.942358e-004
3.411318516750119e-006	1.942291e-004
3.412531898251132e-006	1.942225e-004
3.413745279752145e-006	1.942160e-004
3.414958661253158e-006	1.942097e-004
3.416172042754170e-006	1.942035e-004
3.417385424255183e-006	1.941975e-004
3.418598805756196e-006	1.941916e-004
3.422856403969171e-006	1.941724e-004
3.427114002182145e-006	1.941539e-004
3.431371600395120e-006	1.941362e-004
3.435629198608094e-006	1.941192e-004
3.439886796821069e-006	1.941030e-004
3.444144395034044e-006	1.940875e-004
3.448401993247018e-006	1.940728e-004
3.454189009895657e-006	1.940526e-004
3.459976026544295e-006	1.940296e-004
3.465763043192934e-006	1.940035e-004
3.471550059841572e-006	1.939744e-004
3.477337076490211e-006	1.939424e-004
3.483124093138849e-006	1.939073e-004
3.488911109787488e-006	1.938693e-004
3.494022735505294e-006	1.938316e-004
3.499134361223101e-006	1.937910e-004
3.504245986940907e-006	1.937473e-004
3.509357612658714e-006	1.937007e-004
3.514469238376520e-006	1.936511e-004
3.519580864094327e-006	1.935985e-004
3.524692489812133e-006	1.935429e-004
3.532333992235698e-006	1.934542e-004
3.539975494659263e-006	1.933634e-004
3.547616997082827e-006	1.932705e-004
3.555258499506392e-006	1.931755e-004
3.562900001929957e-006	1.930783e-004
3.570541504353521e-006	1.929790e-004
3.578183006777086e-006	1.928776e-004
3.584151361016319e-006	1.927998e-004
3.590119715255553e-006	1.927225e-004
3.596088069494786e-006	1.926456e-004
3.602056423734019e-006	1.925692e-004
3.608024777973252e-006	1.924932e-004
3.613993132212486e-006	1.924176e-004
3.619961486451719e-006	1.923424e-004
3.625859628589254e-006	1.922683e-004
3.630570101721446e-006	1.922096e-004
3.635280574853639e-006	1.921506e-004
3.639991047985832e-006	1.920913e-004
3.644701521118024e-006	1.920319e-004
3.649411994250217e-006	1.919721e-004
3.654122467382410e-006	1.919122e-004
3.658832940514602e-006	1.918520e-004
3.665472698553671e-006	1.917659e-004
3.668827407673849e-006	1.917219e-004
3.672182116794026e-006	1.916773e-004
3.675536825914203e-006	1.916323e-004
3.678891535034381e-006	1.915867e-004
3.682246244154559e-006	1.915407e-004
3.685600953274736e-006	1.914941e-004
3.688955662394914e-006	1.914469e-004
3.694317944098922e-006	1.913704e-004
3.697855570599127e-006	1.913190e-004
3.701393197099331e-006	1.912667e-004
3.704930823599535e-006	1.912135e-004
3.708468450099740e-006	1.911594e-004
3.712006076599944e-006	1.911045e-004
3.715543703100149e-006	1.910487e-004
3.719081329600353e-006	1.909920e-004
3.723719528834923e-006	1.909165e-004
3.730433814549209e-006	1.908041e-004
3.737148100263494e-006	1.906879e-004
3.743862385977780e-006	1.905679e-004
3.750576671692066e-006	1.904442e-004
3.757290957406352e-006	1.903167e-004
3.764005243120637e-006	1.901854e-004
3.770719528834923e-006	1.900504e-004
3.780519528833966e-006	1.898462e-004
3.790319528833009e-006	1.896340e-004
3.800119528832051e-006	1.894137e-004
3.809919528831094e-006	1.891853e-004
3.819719528830137e-006	1.889487e-004
3.829519528829180e-006	1.887041e-004
3.839319528828222e-006	1.884513e-004
3.853805243114894e-006	1.880644e-004
3.868290957401565e-006	1.876594e-004
3.882776671688236e-006	1.872363e-004
3.897262385974907e-006	1.867950e-004
3.911748100261579e-006	1.863356e-004
3.926233814548250e-006	1.858581e-004
3.940719528834921e-006	1.853624e-004
3.955005243120635e-006	1.848550e-004
3.969290957406349e-006	1.843251e-004
3.983576671692063e-006	1.837727e-004
3.997862385977778e-006	1.831978e-004
4.012148100263492e-006	1.826003e-004
4.026433814549206e-006	1.819802e-004
4.040719528834920e-006	1.813376e-004
4.093086875773695e-006	1.788985e-004
4.145454222712471e-006	1.758997e-004
4.197821569651245e-006	1.723413e-004
4.250188916590020e-006	1.682232e-004
4.302556263528795e-006	1.635456e-004
4.354923610467570e-006	1.583084e-004
4.407290957406345e-006	1.525115e-004
4.476362880681565e-006	1.441404e-004
4.545434803956785e-006	1.332462e-004
4.614506727232005e-006	1.198289e-004
4.683578650507225e-006	1.038885e-004
4.752650573782445e-006	8.542494e-005
4.821722497057665e-006	6.443829e-005
4.890794420332885e-006	4.092853e-005
4.918519404832595e-006	3.012063e-005
4.946244389332306e-006	1.854331e-005
4.973969373832016e-006	6.196556e-006
5.001694358331726e-006	-6.919622e-006
5.029419342831436e-006	-2.080523e-005
5.057144327331147e-006	-3.546026e-005
5.084869311830857e-006	-5.088472e-005
5.099531964383429e-006	-5.944152e-005
5.114194616936003e-006	-6.828230e-005
5.128857269488575e-006	-7.740708e-005
5.143519922041149e-006	-8.681585e-005
5.158182574593722e-006	-9.650862e-005
5.172845227146295e-006	-1.064854e-004
5.187507879698868e-006	-1.167461e-004
5.193626190254399e-006	-1.211216e-004
5.199744500809929e-006	-1.255523e-004
5.205862811365460e-006	-1.300385e-004
5.211981121920992e-006	-1.345799e-004
5.218099432476523e-006	-1.391768e-004
5.224217743032053e-006	-1.438289e-004
5.230336053587584e-006	-1.485364e-004
5.240336053587584e-006	-1.563586e-004
5.243147040466034e-006	-1.585854e-004
5.244830379263457e-006	-1.599249e-004
5.246576713281470e-006	-1.613192e-004
5.248924460697283e-006	-1.632012e-004
5.251651022613068e-006	-1.653979e-004
5.254325352518314e-006	-1.675641e-004
5.258077958337706e-006	-1.706230e-004
5.262328080321615e-006	-1.741148e-004
5.265858054285466e-006	-1.770372e-004
5.269529868672501e-006	-1.800986e-004
5.273144793178338e-006	-1.831342e-004
5.277527838790514e-006	-1.868435e-004
5.282596055974784e-006	-1.911724e-004
5.288372375665819e-006	-1.961583e-004
5.294907416829462e-006	-2.018670e-004
5.300902799942090e-006	-2.071678e-004
5.304965693191522e-006	-2.107949e-004
5.310040272707035e-006	-2.153650e-004
5.310482223128297e-006	-2.157650e-004
5.310924173549561e-006	-2.161654e-004
5.311366123970823e-006	-2.165662e-004
5.311808074392086e-006	-2.169673e-004
5.312250024813348e-006	-2.173687e-004
5.312691975234611e-006	-2.177705e-004
5.313133925655874e-006	-2.181726e-004
5.313600480838361e-006	-2.185974e-004
5.314146052655780e-006	-2.190946e-004
5.314916851412356e-006	-2.197982e-004
5.315401312664579e-006	-2.202410e-004
5.315571043452059e-006	-2.203963e-004
5.315626031989369e-006	-2.204466e-004
5.315681020526680e-006	-2.204970e-004
5.315736009063990e-006	-2.205473e-004
5.315790997601301e-006	-2.205976e-004
5.315845986138612e-006	-2.206480e-004
5.315900974675923e-006	-2.206983e-004
5.315955963213233e-006	-2.207487e-004
5.316081873098666e-006	-2.208640e-004
5.316345192526960e-006	-2.211052e-004
5.316871831383548e-006	-2.215880e-004
5.317467721671313e-006	-2.221346e-004
5.318144141392462e-006	-2.227558e-004
5.318681224573832e-006	-2.232495e-004
5.319230721544147e-006	-2.237551e-004
5.319839240785415e-006	-2.243156e-004
5.320495100058491e-006	-2.249203e-004
5.321247072285904e-006	-2.256146e-004
5.322000000000000e-006	-2.263107e-004
5.322033645112710e-006	-2.263418e-004
5.322067290225420e-006	-2.263729e-004
5.322100935338130e-006	-2.264041e-004
5.322134580450839e-006	-2.264352e-004
5.322168225563549e-006	-2.264663e-004
5.322201870676259e-006	-2.264975e-004
5.322235515788969e-006	-2.265286e-004
5.322531868137238e-006	-2.268030e-004
5.323129391571145e-006	-2.273566e-004
5.324334075913698e-006	-2.284747e-004
5.325067882390468e-006	-2.291569e-004
5.325349554778176e-006	-2.294191e-004
5.325631227165885e-006	-2.296813e-004
5.325912899553593e-006	-2.299437e-004
5.326194571941301e-006	-2.302063e-004
5.326476244329009e-006	-2.304690e-004
5.326757916716718e-006	-2.307318e-004
5.327039589104426e-006	-2.309948e-004
5.328649446029470e-006	-2.325002e-004
5.330259302954514e-006	-2.340105e-004
5.331869159879558e-006	-2.355256e-004
5.333479016804603e-006	-2.370456e-004
5.335088873729648e-006	-2.385704e-004
5.336698730654692e-006	-2.401001e-004
5.338308587579736e-006	-2.416347e-004
5.340936962238072e-006	-2.441510e-004
5.343676295558156e-006	-2.467841e-004
5.346830345148160e-006	-2.498408e-004
5.352214790278468e-006	-2.550938e-004
5.355852561435926e-006	-2.586777e-004
5.359490332593384e-006	-2.622888e-004
5.363128103750842e-006	-2.659273e-004
5.366765874908299e-006	-2.695931e-004
5.370403646065757e-006	-2.732861e-004
5.374041417223216e-006	-2.770065e-004
5.377679188380673e-006	-2.807542e-004
5.383493068769464e-006	-2.867994e-004
5.389306949158255e-006	-2.929140e-004
5.395120829547046e-006	-2.990981e-004
5.400934709935837e-006	-3.053517e-004
5.406748590324628e-006	-3.116747e-004
5.412562470713418e-006	-3.180672e-004
5.418376351102209e-006	-3.245292e-004
5.427430908048275e-006	-3.347290e-004
5.432725389150307e-006	-3.407793e-004
5.439246158711829e-006	-3.482951e-004
5.443892157034005e-006	-3.537067e-004
5.448538155356181e-006	-3.591648e-004
5.453184153678357e-006	-3.646693e-004
5.457830152000532e-006	-3.702203e-004
5.462476150322708e-006	-3.758176e-004
5.467122148644884e-006	-3.814614e-004
5.471768146967059e-006	-3.871517e-004
5.478401766230333e-006	-3.953528e-004
5.485035385493608e-006	-4.036576e-004
5.491669004756883e-006	-4.120659e-004
5.498302624020157e-006	-4.205778e-004
5.504936243283431e-006	-4.291933e-004
5.511569862546706e-006	-4.379124e-004
5.518203481809980e-006	-4.467351e-004
5.529864542701164e-006	-4.625021e-004
5.541525603592350e-006	-4.786310e-004
5.553186664483534e-006	-4.951218e-004
5.564847725374719e-006	-5.119744e-004
5.576508786265903e-006	-5.291889e-004
5.588169847157089e-006	-5.467654e-004
5.599830908048273e-006	-5.647037e-004
5.626772918199056e-006	-6.074403e-004
5.653714928349837e-006	-6.524861e-004
5.680656938500619e-006	-6.998411e-004
5.707598948651402e-006	-7.495052e-004
5.734540958802184e-006	-8.014786e-004
5.761482968952965e-006	-8.557611e-004
5.788424979103748e-006	-9.123528e-004
5.816425826095823e-006	-9.739444e-004
5.844426673087897e-006	-1.038807e-003
5.872427520079972e-006	-1.106941e-003
5.900428367072047e-006	-1.178345e-003
5.928429214064121e-006	-1.253021e-003
5.956430061056196e-006	-1.330968e-003
5.984430908048270e-006	-1.412185e-003
6.009777846823780e-006	-1.488963e-003
6.035124785599290e-006	-1.569167e-003
6.060471724374800e-006	-1.652799e-003
6.085818663150310e-006	-1.739858e-003
6.111165601925820e-006	-1.830344e-003
6.136512540701330e-006	-1.924258e-003
6.161859479476839e-006	-2.021599e-003
6.217625528033493e-006	-2.246446e-003
6.273391576590146e-006	-2.494634e-003
6.329157625146800e-006	-2.766165e-003
6.384923673703454e-006	-3.061037e-003
6.440689722260108e-006	-3.379251e-003
6.496455770816762e-006	-3.720807e-003
6.552221819373415e-006	-4.085705e-003
6.567665653109582e-006	-4.192711e-003
6.583109486845749e-006	-4.302047e-003
6.598553320581917e-006	-4.413714e-003
6.613997154318084e-006	-4.527710e-003
6.629440988054251e-006	-4.644037e-003
6.644884821790419e-006	-4.762693e-003
6.660328655526586e-006	-4.883680e-003
6.660354947968713e-006	-4.883889e-003
6.661082650975698e-006	-4.889657e-003
6.661810353982684e-006	-4.895431e-003
6.662538056989669e-006	-4.901211e-003
6.663265759996656e-006	-4.906996e-003
6.663993463003641e-006	-4.912786e-003
6.664721166010627e-006	-4.918582e-003
6.665448869017612e-006	-4.924384e-003
6.665725260839904e-006	-4.926589e-003
6.666001652662195e-006	-4.928795e-003
6.666278044484486e-006	-4.931001e-003
6.666554436306779e-006	-4.933209e-003
